2025-12-15 20:03:28,957 | INFO | main | main | Started Bank Application
2025-12-15 20:03:28,957 | INFO | main | main | Loading Database
2025-12-15 20:03:36,632 | INFO | main | main | Started Bank Application
2025-12-15 20:03:36,632 | INFO | main | main | Loading Database
2025-12-15 20:04:58,560 | INFO | main | main | Starting login attempt
2025-12-15 20:06:23,373 | INFO | login | login_validation | Entered login Validation
2025-12-15 20:06:41,463 | INFO | login | login_validation | Connection with database is closed
2025-12-15 20:06:41,464 | INFO | login | login_validation | Login Sccussfull
2025-12-15 20:07:31,215 | INFO | main | main | Starting login attempt
2025-12-15 20:07:40,322 | INFO | login | login_validation | Entered login Validation
2025-12-15 20:07:46,342 | INFO | login | login_validation | Connection with database is closed
2025-12-15 20:07:46,343 | ERROR | login | login_validation | Account Not Found
2025-12-15 20:08:24,803 | INFO | main | main | Starting login attempt
2025-12-15 20:08:41,545 | INFO | login | login_validation | Entered login Validation
2025-12-15 20:08:59,810 | INFO | login | login_validation | Connection with database is closed
2025-12-15 20:08:59,810 | INFO | login | login_validation | Login Sccussfull
2025-12-15 20:09:05,455 | INFO | main | main | User Entering Account Details
2025-12-15 20:09:05,455 | INFO | operations | account_detail |  ==== Entered Account Details ==== 
2025-12-15 20:09:47,231 | INFO | main | main | User Depositing Money
2025-12-15 20:09:47,231 | INFO | operations | money_deposit |  ==== Entered Deposit Money ==== 
2025-12-15 20:09:47,232 | INFO | valid | check_money |  ==== Entered Money Validation
2025-12-15 20:10:44,873 | WARNING | valid | check_money | User entered negative value.
2025-12-15 20:11:02,588 | WARNING | valid | check_money | User didnot entered digits
2025-12-15 20:11:46,219 | INFO | valid | check_money | Money Validation confirmed
2025-12-15 20:11:46,220 | INFO | operations | money_deposit | Quering to database
2025-12-15 20:11:46,221 | WARNING | operations | money_deposit | 
2025-12-15 20:11:46,222 | INFO | operations | money_deposit | Connection with database is closed
2025-12-15 20:22:20,702 | INFO | main | main | Starting login attempt
2025-12-15 20:22:37,652 | INFO | login | login_validation | Entered login Validation
2025-12-15 20:22:40,767 | INFO | login | login_validation | Connection with database is closed
2025-12-15 20:22:40,768 | INFO | login | login_validation | Login Sccussfull
2025-12-15 20:22:43,395 | INFO | main | main | User Depositing Money
2025-12-15 20:22:43,396 | INFO | operations | money_deposit |  ==== Entered Deposit Money ==== 
2025-12-15 20:22:43,397 | INFO | valid | check_money |  ==== Entered Money Validation
2025-12-15 20:22:45,431 | INFO | valid | check_money | Money Validation confirmed
2025-12-15 20:22:45,431 | INFO | operations | money_deposit | Quering to database
2025-12-15 20:22:45,434 | WARNING | operations | money_deposit | 
2025-12-15 20:22:45,434 | INFO | operations | money_deposit | Connection with database is closed
2025-12-15 20:25:40,635 | INFO | main | main | Started Bank Application
2025-12-15 20:25:40,635 | INFO | main | main | Loading Database
2025-12-15 20:25:41,681 | INFO | main | main | Starting login attempt
2025-12-15 20:25:53,087 | INFO | login | login_validation | Entered login Validation
2025-12-15 20:25:57,190 | INFO | login | login_validation | Connection with database is Open
2025-12-15 20:25:57,191 | INFO | login | login_validation | Connection with database is closed
2025-12-15 20:25:57,191 | INFO | login | login_validation | Login Sccussfull
2025-12-15 20:25:58,367 | INFO | main | main | User Depositing Money
2025-12-15 20:25:58,368 | INFO | operations | money_deposit |  ==== Entered Deposit Money ==== 
2025-12-15 20:25:58,369 | INFO | valid | check_money |  ==== Entered Money Validation ==== 
2025-12-15 20:26:00,315 | INFO | valid | check_money | Money Validation confirmed
2025-12-15 20:26:00,315 | INFO | operations | money_deposit | Quering to database
2025-12-15 20:26:00,317 | INFO | operations | money_deposit | Operation Performed
2025-12-15 20:26:00,318 | INFO | operations | money_deposit | Connection with database is closed
2025-12-15 20:39:51,513 | INFO | main | main | Started Bank Application
2025-12-15 20:39:51,513 | INFO | main | main | Loading Database
2025-12-15 20:39:52,675 | INFO | main | main | Starting login attempt
2025-12-15 20:40:01,338 | INFO | login | login_validation | Entered login Validation
2025-12-15 20:40:05,489 | INFO | login | login_validation | Connection with database is Open
2025-12-15 20:40:05,490 | INFO | login | login_validation | Connection with database is closed
2025-12-15 20:40:05,491 | INFO | login | login_validation | USer : reyanshpatel@gmail.com logged in sccussfully
2025-12-15 20:40:05,491 | INFO | login | login_validation | Login Sccussfull
2025-12-15 20:40:07,895 | INFO | main | main | User Entering Account Details
2025-12-15 20:40:07,895 | INFO | operations | account_detail |  ==== Entered Account Details ==== 
2025-12-15 20:40:07,896 | INFO | operations | account_detail | Connection with database is closed
2025-12-15 20:40:07,896 | INFO | operations | account_detail | Account fetched Sccussfully
2025-12-15 20:40:39,643 | INFO | main | main | User Depositing Money
2025-12-15 20:40:39,644 | INFO | operations | money_deposit |  ==== Entered Deposit Money ==== 
2025-12-15 20:40:39,645 | INFO | valid | check_money |  ==== Entered Money Validation ==== 
2025-12-15 20:40:48,335 | WARNING | valid | check_money | User entered negative value.
2025-12-15 20:40:52,136 | WARNING | valid | check_money | User didnot entered digits
2025-12-15 20:40:58,250 | INFO | valid | check_money | Money Validation confirmed
2025-12-15 20:40:58,250 | INFO | operations | money_deposit | Quering to database
2025-12-15 20:40:58,253 | INFO | operations | money_deposit | Operation Performed
2025-12-15 20:40:58,254 | INFO | operations | money_deposit | Connection with database is closed
2025-12-15 20:40:58,254 | INFO | operations | money_deposit | User Desposited : ₹100000
2025-12-15 20:41:07,844 | INFO | main | main | User withdrawing Money
2025-12-15 20:41:07,845 | INFO | operations | money_withdraw |  ==== Entered Withdraw Money ==== 
2025-12-15 20:41:07,845 | INFO | valid | check_money |  ==== Entered Money Validation ==== 
2025-12-15 20:41:11,088 | INFO | valid | check_money | Money Validation confirmed
2025-12-15 20:41:11,089 | INFO | operations | money_withdraw | Quering to database
2025-12-15 20:41:11,091 | INFO | operations | money_withdraw | Connection with database is closed
2025-12-15 20:41:11,092 | INFO | operations | money_withdraw | User Withdrawn : ₹50000
2025-12-15 20:41:17,692 | INFO | main | main | User withdrawing Money
2025-12-15 20:41:17,692 | INFO | operations | money_withdraw |  ==== Entered Withdraw Money ==== 
2025-12-15 20:41:17,693 | INFO | valid | check_money |  ==== Entered Money Validation ==== 
2025-12-15 20:41:19,612 | INFO | valid | check_money | Money Validation confirmed
2025-12-15 20:41:19,613 | INFO | operations | money_withdraw | Quering to database
2025-12-15 20:41:19,615 | INFO | operations | money_withdraw | Connection with database is closed
2025-12-15 20:41:19,616 | INFO | operations | money_withdraw | User Withdrawn : ₹123123123
2025-12-15 20:41:48,258 | INFO | main | main | User deleting Account
2025-12-15 20:41:48,258 | INFO | operations | delete_account |  ==== Entered Account Deletion Mode ==== 
2025-12-15 20:41:48,260 | INFO | operations | delete_account | Quering to database
2025-12-15 20:41:48,262 | INFO | operations | delete_account | Connection with database is closed
2025-12-15 20:41:48,262 | INFO | operations | delete_account | User Account : reyanshpatel@gmail.com deleted sccussfully
2025-12-15 20:55:19,005 | INFO | main | main | Started Bank Application
2025-12-15 20:55:19,005 | INFO | main | main | Loading Database
2025-12-15 20:55:30,142 | INFO | main | main | Starting login attempt
2025-12-15 20:55:37,621 | INFO | login | login_validation | Entered login Validation
2025-12-15 20:55:41,851 | INFO | login | login_validation | Connection with database is Open
2025-12-15 20:55:41,852 | INFO | login | login_validation | Connection with database is closed
2025-12-15 20:55:41,852 | INFO | login | login_validation | USer : sunitapatel4281@gmail.com logged in sccussfully
2025-12-15 20:55:41,852 | INFO | login | login_validation | Login Sccussfull
2025-12-15 20:55:51,118 | INFO | main | main | User Entering Account Details
2025-12-15 20:55:51,119 | INFO | operations | account_detail |  ==== Entered Account Details ==== 
2025-12-15 20:55:51,120 | INFO | operations | account_detail | Connection with database is closed
2025-12-15 20:55:51,121 | INFO | operations | account_detail | Account fetched Sccussfully
2025-12-15 20:55:55,476 | INFO | main | main | User withdrawing Money
2025-12-15 20:55:55,476 | INFO | operations | money_withdraw |  ==== Entered Withdraw Money ==== 
2025-12-15 20:55:55,477 | INFO | valid | check_money |  ==== Entered Money Validation ==== 
2025-12-15 20:55:57,514 | INFO | valid | check_money | Money Validation confirmed
2025-12-15 20:55:57,514 | INFO | operations | money_withdraw | Quering to database
2025-12-15 20:55:57,514 | WARNING | operations | money_withdraw | Something went wrong with database.
2025-12-15 20:55:57,515 | INFO | operations | money_withdraw | Connection with database is closed
2025-12-15 20:55:57,515 | INFO | operations | money_withdraw | User Withdrawn : ₹12345678
2025-12-15 21:09:16,082 | INFO | main | main | Started Bank Application
2025-12-15 21:09:16,082 | INFO | main | main | Loading Database
2025-12-15 21:09:17,069 | INFO | main | main | Starting login attempt
2025-12-15 21:09:27,160 | INFO | login | login_validation | Entered login Validation
2025-12-15 21:09:31,096 | INFO | login | login_validation | Connection with database is Open
2025-12-15 21:09:31,097 | INFO | login | login_validation | Connection with database is closed
2025-12-15 21:09:31,097 | INFO | login | login_validation | USer : sunitapatel4281@gmail.com logged in sccussfully
2025-12-15 21:09:31,097 | INFO | login | login_validation | Login Sccussfull
2025-12-15 21:09:33,452 | INFO | main | main | User withdrawing Money
2025-12-15 21:09:33,453 | INFO | operations | money_withdraw |  ==== Entered Withdraw Money ==== 
2025-12-15 21:09:33,453 | INFO | valid | check_money |  ==== Entered Money Validation ==== 
2025-12-15 21:09:38,131 | INFO | valid | check_money | Money Validation confirmed
2025-12-15 21:09:38,131 | INFO | operations | money_withdraw | Quering to database
2025-12-15 21:09:38,132 | WARNING | operations | money_withdraw | Something went wrong with database.
2025-12-15 21:09:38,132 | INFO | operations | money_withdraw | Connection with database is closed
2025-12-15 21:09:38,132 | INFO | operations | money_withdraw | User Withdrawn : ₹1000
2025-12-15 21:28:02,308 | INFO | main | main | Started Bank Application
2025-12-15 21:28:02,308 | INFO | main | main | Loading Database
2025-12-15 21:28:04,650 | INFO | main | main | Starting login attempt
2025-12-15 21:28:12,129 | INFO | login | login_validation | Entered login Validation
